                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7862,                 3.2897,                 1.7308,                0.02281,                0.87834,                0.25653,                0.12246,                 1.4175,                 3.1439,                 1.4022,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.4664,                  2.125,                 1.3807,                0.15404,                0.64888,                0.34114,                 0.1976,                 1.2953,                 2.7155,                 1.2585,             0.00027778,             0.00027778,             0.00027778
                      3,                 1.2587,                 1.4965,                 1.2733,                0.87674,                0.35086,                0.41532,                0.27177,                 1.1634,                 2.4133,                    1.2,             0.00041626,             0.00041626,             0.00041626
                      4,                 1.2069,                 1.2678,                 1.2594,                0.90843,                 0.3681,                0.44695,                0.30374,                 1.1332,                 2.3291,                 1.2442,             0.00054879,             0.00054879,             0.00054879
                      5,                 1.1656,                 1.0969,                 1.2176,                0.82004,                0.28276,                0.41859,                 0.2823,                 1.1972,                 2.6418,                 1.3209,             0.00067539,             0.00067539,             0.00067539
                      6,                 1.1409,                 1.0472,                 1.2085,                0.80392,                0.25921,                0.51211,                0.34164,                  1.259,                 2.7547,                  1.379,             0.00079604,             0.00079604,             0.00079604
                      7,                 1.0957,                0.97548,                 1.1893,                0.86971,                0.31897,                0.52807,                0.35871,                 1.2047,                 2.5792,                 1.3344,             0.00091076,             0.00091076,             0.00091076
                      8,                 1.1354,                 0.9806,                 1.2075,                0.71657,                0.48077,                0.77485,                0.55666,                 1.0872,                 2.0095,                 1.2361,              0.0010195,              0.0010195,              0.0010195
                      9,                 1.0617,                0.89971,                 1.1524,                0.67138,                0.71866,                0.90707,                0.66056,                 1.0325,                 1.5217,                 1.1804,              0.0011224,              0.0011224,              0.0011224
                     10,                 1.0327,                0.87459,                 1.1432,                0.75907,                0.87653,                 0.9521,                0.70451,                 1.0009,                 1.1861,                 1.1678,              0.0012192,              0.0012192,              0.0012192
                     11,                 1.0565,                0.86405,                 1.1671,                0.84805,                0.81734,                0.95064,                0.70872,                 1.0201,                 1.2453,                 1.1702,              0.0013102,              0.0013102,              0.0013102
                     12,                 1.0316,                0.83329,                 1.1333,                0.91086,                0.85702,                0.93079,                0.68328,                 1.0049,                 1.0987,                 1.1635,              0.0013039,              0.0013039,              0.0013039
                     13,                0.98129,                 0.8118,                 1.1277,                0.81954,                0.87388,                0.94127,                 0.7008,                0.99176,                 1.1133,                 1.1336,              0.0012709,              0.0012709,              0.0012709
                     14,                 0.9827,                0.81742,                 1.1304,                0.91365,                 0.9265,                0.95327,                0.72044,                 0.9524,                0.97608,                 1.1169,              0.0012379,              0.0012379,              0.0012379
